DienTich,Phongngu,PhongTam,GiayTo,Loai,HuongCuaChinh,TinhTrangNoiThat,DiaChi,Gia,SoTang,DacDiem
33 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Ngõ 322 Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà NộiXem bản đồ","4,3 tỷ - 33 m2",5,
37 m²,6 phòng,,,"Nhà ngõ, hẻm",,,"Mễ Trì Thượng, Phường Mễ Trì, Quận Nam Từ Liêm, Hà NộiXem bản đồ","4,28 tỷ - 37 m2",,
65 m²,4 phòng,3 phòng,,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, Hà NộiXem bản đồ","7,8 tỷ - 65 m2",5,
47 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Bàn giao thô,"Âu Cơ, Phường Tứ Liên, Quận Tây Hồ, Hà NộiXem bản đồ","4,2 tỷ - 47 m2",3,
32 m²,3 phòng,,,"Nhà ngõ, hẻm",,,"Phố Phú Xá, Phường Phú Thượng, Quận Tây Hồ, Hà NộiXem bản đồ","3,7 tỷ - 32 m2",,
34 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Trung phụng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","4,2 tỷ - 34 m2",5,
35 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Thái Hà, Phường Quang Trung, Quận Đống Đa, Hà NộiXem bản đồ","4,8 tỷ - 35 m2",4,
39 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Xã Đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","4,65 tỷ - 39 m2",5,
35 m²,3 phòng,,,"Nhà ngõ, hẻm",,,"Phố Phú Gia, Phường Phú Thượng, Quận Tây Hồ, Hà NộiXem bản đồ","5,5 tỷ - 35 m2",,Hẻm xe hơi
40 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Đường Lê Quang Đạo, Phường Phú Đô, Quận Nam Từ Liêm, Hà NộiXem bản đồ","4,35 tỷ - 40 m2",5,
42 m²,3 phòng,,,"Nhà ngõ, hẻm",,,"Phố Tôn Đức Thắng, Phường Cát Linh, Quận Đống Đa, Hà NộiXem bản đồ","5,2 tỷ - 42 m2",5,
50 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Trần Quốc Vượng, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà NộiXem bản đồ","4,2 tỷ - 50 m2",5,
35 m²,3 phòng,,Đang chờ sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Xã Đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","4,95 tỷ - 35 m2",4,
55 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Hoàng Sâm, Phường Nghĩa Đô, Quận Cầu Giấy, Hà NộiXem bản đồ","11,8 tỷ - 55 m2",,
28 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Tân Mai, Phường Tương Mai, Quận Hoàng Mai, Hà NộiXem bản đồ","6,35 tỷ - 28 m2",5,
42 m²,nhiều hơn 10 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"MỄ TRÌ HẠ, Phường Mễ Trì, Quận Nam Từ Liêm, Hà NộiXem bản đồ","7,9 tỷ - 42 m2",7,
40 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Đê La Thành, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","5,5 tỷ - 40 m2",4,
30 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà NộiXem bản đồ",4 tỷ - 30 m2,5,
100 m²,4 phòng,2 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà NộiXem bản đồ","15,8 tỷ - 100 m2",1,
57 m²,6 phòng,Nhiều hơn 6 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Ngõ 50 võng thị, Phường Bưởi, Quận Tây Hồ, Hà NộiXem bản đồ","5,9 tỷ - 57 m2",5,
38 m²,6 phòng,3 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Phố Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà NộiXem bản đồ","6,2 tỷ - 38 m2",4,
36 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,Nội thất đầy đủ,"Thanh Lương, Xã Bích Hòa, Huyện Thanh Oai, Hà NộiXem bản đồ","2,03 tỷ - 36 m2",4,
30 m²,5 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Lê Trọng Tấn, Phường Khương Trung, Quận Thanh Xuân, Hà NộiXem bản đồ","3,95 tỷ - 30 m2",4,
40 m²,6 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"HOÀNG QUỐC VIỆT, Phường Nghĩa Đô, Quận Cầu Giấy, Hà NộiXem bản đồ",4 tỷ - 40 m2,55,
60 m²,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Nguyễn Khang, Phường Yên Hoà, Quận Cầu Giấy, Hà NộiXem bản đồ","10,9 tỷ - 60 m2",7,
55 m²,9 phòng,Nhiều hơn 6 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Phan Kế Bính, Phường Cống Vị, Quận Ba Đình, Hà NộiXem bản đồ","8,65 tỷ - 55 m2",6,
38 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà NộiXem bản đồ","5,12 tỷ - 38 m2",4,
65 m²,5 phòng,,,"Nhà mặt phố, mặt tiền",,,"Tố hữu, Phường Vạn Phúc, Quận Hà Đông, Hà NộiXem bản đồ","10,5 tỷ - 65 m2",,
33 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,,"Trinh Lương, Phường Phú Lương, Quận Hà Đông, Hà NộiXem bản đồ","2,3 tỷ - 33 m2",4,
35 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,,"Quang Trung, Phường Yên Nghĩa, Quận Hà Đông, Hà NộiXem bản đồ","2,55 tỷ - 35 m2",5,
35 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,,"Quang Trung, Phường Yên Nghĩa, Quận Hà Đông, Hà NộiXem bản đồ","2,55 tỷ - 35 m2",5,
25 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Bạch Mai, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà NộiXem bản đồ","2,99 tỷ - 25 m2",5,
35 m²,3 phòng,3 phòng,,"Nhà ngõ, hẻm",,,"Huyền Kỳ, Phường Phú Lãm, Quận Hà Đông, Hà NộiXem bản đồ","2,45 tỷ - 35 m2",,Nở hậu
30 m²,3 phòng,3 phòng,,"Nhà ngõ, hẻm",Tây Nam,Nội thất đầy đủ,"65, An Thắng, Phường Biên Giang, Quận Hà Đông, Hà NộiXem bản đồ","1,8 tỷ - 30 m2",,"Hẻm xe hơi,Nở hậu"
65 m²,3 phòng,,,"Nhà mặt phố, mặt tiền",,,"Tố hữu, Phường Vạn Phúc, Quận Hà Đông, Hà NộiXem bản đồ","11,2 tỷ - 65 m2",,
27 m²,2 phòng,3 phòng,Đã có sổ,,Tây Nam,,"Ngõ 250, Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà NộiXem bản đồ","3,2 tỷ - 27 m2",5,
35 m²,4 phòng,,,"Nhà ngõ, hẻm",,,"Đường Lai Xá, Xã Kim Chung, Huyện Hoài Đức, Hà NộiXem bản đồ","3,4 tỷ - 35 m2",,
100 m²,6 phòng,Nhiều hơn 6 phòng,,"Nhà mặt phố, mặt tiền",Tây,Nhà trống,"Phố Ba La, Hà Đông, Hà Nội, Phường Phú Lương, Quận Hà Đông, Hà NộiXem bản đồ","6,95 tỷ - 100 m2",5,
33 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Hòa Bình, Phường Biên Giang, Quận Hà Đông, Hà NộiXem bản đồ","2,4 tỷ - 33 m2",4,
250 m²,5 phòng,,,"Nhà mặt phố, mặt tiền",,,"Kiến hưng, Phường Kiến Hưng, Quận Hà Đông, Hà NộiXem bản đồ",7 tỷ - 250 m2,,
200 m²,4 phòng,,,"Nhà mặt phố, mặt tiền",,,"Đấu Giá Kiến Hưng, Phường Kiến Hưng, Quận Hà Đông, Hà NộiXem bản đồ","7,1 tỷ - 200 m2",,
21 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Văn Chương, Phường Văn Chương, Quận Đống Đa, Hà NộiXem bản đồ","2,7 tỷ - 21 m2",5,
60 m²,5 phòng,,,"Nhà mặt phố, mặt tiền",,,"Ngô thì nhậm, Phường Hà Cầu, Quận Hà Đông, Hà NộiXem bản đồ","7,9 tỷ - 60 m2",,
77 m²,5 phòng,,,"Nhà mặt phố, mặt tiền",,,"Văn phú, Phường Phú La, Quận Hà Đông, Hà NộiXem bản đồ","9,2 tỷ - 77 m2",,
350 m²,6 phòng,,,"Nhà mặt phố, mặt tiền",,,"Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà NộiXem bản đồ","10,5 tỷ - 350 m2",,
52 m²,5 phòng,,,"Nhà mặt phố, mặt tiền",,,"Tô hiệu, Phường Nguyễn Trãi, Quận Hà Đông, Hà NộiXem bản đồ","7,8 tỷ - 52 m2",,
58.4 m²,2 phòng,,,"Nhà ngõ, hẻm",,,"Phố Sài Đồng, Phường Sài Đồng, Quận Long Biên, Hà NộiXem bản đồ",340 triệu - 58.4 m2,2,
52 m²,4 phòng,5 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Đường Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà NộiXem bản đồ",10 tỷ - 52 m2,5,
56 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà NộiXem bản đồ","4,3 tỷ - 56 m2",5,
50 m²,9 phòng,,,"Nhà mặt phố, mặt tiền",,,"Văn quán, Phường Văn Quán, Quận Hà Đông, Hà NộiXem bản đồ","6,2 tỷ - 50 m2",,
34 m²,4 phòng,4 phòng,,"Nhà ngõ, hẻm",,,"Đường Nguyễn Văn Linh, Phường Long Biên, Quận Long Biên, Hà NộiXem bản đồ","3,6 tỷ - 34 m2",6,
50 m²,4 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,"Đường trục phía Nam, Phường Kiến Hưng, Quận Hà Đông, Hà NộiXem bản đồ","7,15 tỷ - 50 m2",5,
30.8 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Tây Lai Xá, Xã Kim Chung, Huyện Hoài Đức, Hà NộiXem bản đồ","3,05 tỷ - 30.8 m2",5,
21 m²,2 phòng,2 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Tôn Đức Thắng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","2,35 tỷ - 21 m2",3,
38 m²,4 phòng,4 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nhà trống,"Phố Tây Lai Xá, Xã Kim Chung, Huyện Hoài Đức, Hà NộiXem bản đồ","4,6 tỷ - 38 m2",5,
28 m²,2 phòng,3 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,,"Phố Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà NộiXem bản đồ","3,08 tỷ - 28 m2",,
37 m²,2 phòng,2 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nhà trống,"Trịnh Công Sơn, Phường Nhật Tân, Quận Tây Hồ, Hà NộiXem bản đồ","2,7 tỷ - 37 m2",3,
25 m²,2 phòng,1 phòng,,"Nhà ngõ, hẻm",,,"Đường Nguyễn Văn Linh, Phường Sài Đồng, Quận Long Biên, Hà NộiXem bản đồ","1,55 tỷ - 25 m2",2,
70 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Phố Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà NộiXem bản đồ","4,5 tỷ - 70 m2",,
40 m²,3 phòng,4 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất cao cấp,"Phạm Ngọc Thạch., Phường Phương Liên, Quận Đống Đa, Hà NộiXem bản đồ","6,8 tỷ - 40 m2",5,
21 m²,2 phòng,3 phòng,Giấy tờ khác,"Nhà ngõ, hẻm",,,"Trần Quang Diệu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","1,65 tỷ - 21 m2",3,
25 m²,2 phòng,3 phòng,,"Nhà ngõ, hẻm",,,"đại từ, Phường Đại Kim, Quận Hoàng Mai, Hà NộiXem bản đồ","3,1 tỷ - 25 m2",4,
31.5 m²,3 phòng,4 phòng,,"Nhà ngõ, hẻm",,,"Đường Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà NộiXem bản đồ","5,45 tỷ - 31.5 m2",5,
18 m²,2 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Văn Hương, Phường Hàng Bột, Quận Đống Đa, Hà NộiXem bản đồ","1,65 tỷ - 18 m2",4,
40 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Ngọc Trì, Phường Thạch Bàn, Quận Long Biên, Hà NộiXem bản đồ","5,2 tỷ - 40 m2",6,
30 m²,2 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Văn Chương, Phường Văn Chương, Quận Đống Đa, Hà NộiXem bản đồ","2,9 tỷ - 30 m2",3,
43 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Đường Hoàng Văn Thái, Phường Khương Mai, Quận Thanh Xuân, Hà NộiXem bản đồ","8,9 tỷ - 43 m2",44,
32 m²,6 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Trịnh Đình Cửu, Phường Định Công, Quận Hoàng Mai, Hà NộiXem bản đồ","5,98 tỷ - 32 m2",5,
34 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,Nhà trống,"Đường An Thọ 1, Xã An Khánh, Huyện Hoài Đức, Hà NộiXem bản đồ","2,75 tỷ - 34 m2",4,
75 m²,4 phòng,2 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,,"Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà NộiXem bản đồ",6 tỷ - 75 m2,4,
32 m²,6 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Trịnh Đình Cửu, Phường Định Công, Quận Hoàng Mai, Hà NộiXem bản đồ","5,98 tỷ - 32 m2",5,
34 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,Nhà trống,"Đường An Thọ 1, Xã An Khánh, Huyện Hoài Đức, Hà NộiXem bản đồ","2,75 tỷ - 34 m2",4,
75 m²,4 phòng,2 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,,"Đường An Dương Vương, Phường Phú Thượng, Quận Tây Hồ, Hà NộiXem bản đồ",6 tỷ - 75 m2,4,
46 m²,6 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Thái Hà, Phường Quang Trung, Quận Đống Đa, Hà NộiXem bản đồ",9 tỷ - 46 m2,5,
40 m²,3 phòng,4 phòng,,"Nhà ngõ, hẻm",,,"Phố Gia Quất, Phường Thượng Thanh, Quận Long Biên, Hà NộiXem bản đồ","2,8 tỷ - 40 m2",5,
35 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Đường cao tốc Hà Nội – Hải Phòng, Xã Đông Dư, Huyện Gia Lâm, Hà NộiXem bản đồ","2,45 tỷ - 35 m2",5,
58 m²,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Kim Ngưu, Phường Minh Khai, Quận Hai Bà Trưng, Hà NộiXem bản đồ","9,75 tỷ - 58 m2",6,
35 m²,3 phòng,4 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất cao cấp,"Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà NộiXem bản đồ","5,3 tỷ - 35 m2",5,
55 m²,4 phòng,5 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất cao cấp,"Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà NộiXem bản đồ","15,6 tỷ - 55 m2",6,
36 m²,3 phòng,4 phòng,,"Nhà ngõ, hẻm",,,"Ngõ 565 Đường Bát Khối, Phường Cự Khối, Quận Long Biên, Hà NộiXem bản đồ","2,45 tỷ - 36 m2",5,Hẻm xe hơi
30 m²,2 phòng,2 phòng,Đã có sổ,"Nhà ngõ, hẻm",Tây Bắc,,"Nguyễn Cao Luyện, Phường Việt Hưng, Quận Long Biên, Hà NộiXem bản đồ","2,6 tỷ - 30 m2",3,
43 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Phố Nguyễn Hoàng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà NộiXem bản đồ","5,5 tỷ - 43 m2",3,
42 m²,3 phòng,4 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Đường Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà NộiXem bản đồ",3 tỷ - 42 m2,5,
52 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Đường Mỹ Đình, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà NộiXem bản đồ","4,8 tỷ - 52 m2",4,
58 m²,nhiều hơn 10 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,"Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà NộiXem bản đồ","9,5 tỷ - 58 m2",,
32 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Bắc,Nội thất đầy đủ,"Trạm Bơm Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Hà NộiXem bản đồ","1,83 tỷ - 32 m2",,
35 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Đường Giáp Hải, Xã Đông Dư, Huyện Gia Lâm, Hà NộiXem bản đồ","2,45 tỷ - 35 m2",5,
30 m²,3 phòng,4 phòng,,"Nhà ngõ, hẻm",Đông Nam,,"Phố Đàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà NộiXem bản đồ","3,35 tỷ - 30 m2",5,
80 m²,5 phòng,4 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất cao cấp,"Đường Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà NộiXem bản đồ","10,8 tỷ - 80 m2",5,
36 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà NộiXem bản đồ","3,05 tỷ - 36 m2",5,
58 m²,5 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Cầu Diễn, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà NộiXem bản đồ","5,8 tỷ - 58 m2",4,Hẻm xe hơi
38 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Cầu Diễn, Phường Minh Khai, Quận Bắc Từ Liêm, Hà NộiXem bản đồ","3,8 tỷ - 38 m2",,Nở hậu
30 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Đường Trần Khát Chân, Phường Thanh Lương, Quận Hai Bà Trưng, Hà NộiXem bản đồ","4,05 tỷ - 30 m2",4,
43 m²,4 phòng,3 phòng,,"Nhà ngõ, hẻm",,,"Ngõ 58 Trần Bình, Phường Mai Dịch, Quận Cầu Giấy, Hà NộiXem bản đồ","4,29 tỷ - 43 m2",,
39 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Hồ Tùng Mậu, Phường Mai Dịch, Quận Cầu Giấy, Hà NộiXem bản đồ","5,2 tỷ - 39 m2",,
48 m²,6 phòng,6 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Chiến Thắng, Phường Nguyễn Trãi, Quận Hà Đông, Hà NộiXem bản đồ","8,3 tỷ - 48 m2",6,Hẻm xe hơi
48 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Phố Hào Nam, Phường Cát Linh, Quận Đống Đa, Hà NộiXem bản đồ","4,6 tỷ - 48 m2",5,
39 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Lương Định Của, Phường Kim Liên, Quận Đống Đa, Hà NộiXem bản đồ","4,6 tỷ - 39 m2",4,
50 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,,"Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà NộiXem bản đồ","7,5 tỷ - 50 m2",5,
45 m²,5 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà NộiXem bản đồ","5,2 tỷ - 45 m2",4,
30 m²,2 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,,"Ngõ 43 Cầu Cốc, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà NộiXem bản đồ","2,9 tỷ - 30 m2",4,
45 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Cầu Diễn, Phường Minh Khai, Quận Bắc Từ Liêm, Hà NộiXem bản đồ","3,6 tỷ - 45 m2",5,Hẻm xe hơi
34 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Xã Đàn, Phường Nam Đồng, Quận Đống Đa, Hà NộiXem bản đồ","5,6 tỷ - 34 m2",5,
37 m²,5 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Phố Nguyễn Lương Bằng, Phường Quang Trung, Quận Đống Đa, Hà NộiXem bản đồ","4,85 tỷ - 37 m2",4,
37 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Quan nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà NộiXem bản đồ","3,95 tỷ - 37 m2",3,
45 m²,5 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà NộiXem bản đồ","5,2 tỷ - 45 m2",5,
38 m²,6 phòng,6 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà NộiXem bản đồ",5 tỷ - 38 m2,6,
35 m²,4 phòng,4 phòng,,"Nhà ngõ, hẻm",,,"Phố Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà NộiXem bản đồ","4,65 tỷ - 35 m2",5,
34 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà NộiXem bản đồ","4,15 tỷ - 34 m2",5,
40 m²,5 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Nguyễn Lương Bằng, Phường Quang Trung, Quận Đống Đa, Hà NộiXem bản đồ","4,85 tỷ - 40 m2",4,
38 m²,4 phòng,4 phòng,Đã có sổ,Nhà phố liền kề,,Nội thất đầy đủ,"Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà NộiXem bản đồ","4,75 tỷ - 38 m2",4,
45 m²,6 phòng,,,"Nhà ngõ, hẻm",,,"Học Viện Cảnh, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà NộiXem bản đồ","5,35 tỷ - 45 m2",5,
58 m²,2 phòng,2 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà NộiXem bản đồ","5,2 tỷ - 58 m2",2,
